run,Episode Length,loss,exploration,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
561,5002,0.00041421802669733553,0.497730680205976,-24.841573084771778,3.9533277458620883,3.84,50.57283142389526,390,6.5625,92.65625,0.625
562,5002,0.0004738642826076102,0.4971149055837041,-20.399317625598098,4.472314153502773,3.846,50.654664484451715,355,10.452418096723868,89.39157566302653,0.15600624024961
563,5002,0.0009089740472253652,0.4964999005063392,-20.912255308474077,3.9734649391746997,4.002,52.45499181669394,336,5.397301349325337,94.45277361319341,0.14992503748125938
564,5002,0.00035913963649218206,0.4958856640121667,-23.15910588527078,3.9270558828917417,3.726,49.345335515548285,346,11.11111111111111,88.72785829307568,0.1610305958132045
565,5002,0.000243356648684221,0.49527219514067405,-19.103749616626942,3.5265222483833045,3.648,48.3633387888707,322,5.756578947368421,94.24342105263158,0.0
566,5002,0.0006618194649532597,0.494659492932549,-21.566897176271247,4.024374256746346,3.9179999999999997,51.309328968903436,353,8.269525267993874,91.57733537519142,0.1531393568147014
567,5002,0.0005876149703741248,0.4940475564296783,-26.05274810179578,3.691195803962122,3.87,51.6366612111293,393,5.736434108527131,94.26356589147287,0.0
568,5002,0.0012802335118696647,0.4934363846751458,-21.580535047632758,4.038309188282399,3.7920000000000003,50.08183306055647,323,9.335443037974683,90.66455696202532,0.0
569,5002,0.00034015066401643705,0.49282597671323153,-19.80063827663021,5.620213555279308,3.9179999999999997,51.71849427168576,351,5.819295558958652,94.18070444104136,0.0
570,5002,0.0007591443011247975,0.4922163315894097,-23.348138957545547,4.501542238193546,3.8819999999999997,51.145662847790504,345,11.901081916537867,87.94435857805254,0.0
571,5002,0.0003418446534987197,0.4916074483503475,-27.218974658239397,4.369725714139667,3.696,48.690671031096564,413,5.194805194805195,94.8051948051948,0.0
572,5002,0.0003495947620680454,0.4909993260439034,-22.90912910874235,4.431955777717243,3.84,50.654664484451715,340,9.0625,90.625,0.3125
573,5002,0.0005557974142162493,0.49039196371912597,-22.544838743689063,3.7456510999481627,3.768,50.245499181669395,354,8.598726114649681,90.92356687898089,0.3184713375796179
574,5002,0.0003489175694437108,0.48978536042625215,-19.960017466233495,4.470913997287474,4.0440000000000005,53.191489361702125,333,5.044510385756676,94.95548961424333,0.0
575,5002,0.0005047798869973121,0.48917951521670555,-22.1633115120225,3.9640840968855917,3.8519999999999994,50.90016366612111,336,4.517133956386292,95.48286604361371,0.0
576,5002,0.0010284508162694693,0.4885744271430956,-25.03740606659401,3.5486180458847643,3.558,46.9721767594108,410,9.27487352445194,90.72512647554805,0.0
577,5002,0.0007613041415571842,0.4879700952592156,-18.56386275945798,4.840349155208816,3.828,50.98199672667758,293,8.77742946708464,91.06583072100314,0.0
578,5002,0.0003983528959557589,0.48736651862004116,-20.68281990538974,4.622809686081712,3.93,52.373158756137485,338,4.732824427480916,95.26717557251908,0.0
579,5002,0.0005572024243414489,0.48676369628172916,-20.053524653444903,4.5836622668467655,3.702,49.345335515548285,344,6.3209076175040515,93.67909238249594,0.0
580,5002,0.0004546185789864467,0.4861616273016158,-25.75961453994672,2.9870215305261665,3.54,46.48117839607202,421,7.796610169491526,92.03389830508475,0.1694915254237288
581,5002,0.0004032670587494067,0.48556031073821543,-18.68895856117665,4.907337959115283,4.146,55.237315875613746,303,6.801736613603474,92.61939218523878,0.5788712011577424
